ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Source_comment
stan1295-11,stan1295,Joan Baez singt besser als jede andere Sängerin.,Joan	Baez	singt	besser	als	jede	andere	Sängerin.,Joan	Baez	sings	better	than	every	other	singer,Joan Baez sings better than any other singer.,,,,,personal knowledge
stan1295-12,stan1295,ohne jede/irgend-welche Hilfe,ohne	jede/irgend-welche	Hilfe,without	every/any-one	help,without any help,,,,,personal knowledge
stan1295-13,stan1295,Sie stritt jede/irgend-eine Beteilingung ab.,Sie	stritt	jede/irgend-eine	Beteilingung	ab.,she	denied	every/any-one	participation	off,She denied any participation.,,,,,personal knowledge
stan1295-14,stan1295,Niemand ist gekommen.,Niemand	ist	gekommen.,nobody	has	come,Nobody has come.,,,,,personal knowledge
stan1295-15,stan1295,Ich habe niemandem (irgend) etwas gesagt.,Ich	habe	niemandem	(irgend)	etwas	gesagt.,I	have	nobody	any	thing	said,I didn't tell anything to anybody.,,,,,personal knowledge
dutc1256-1,dutc1256,Er heeft vanmorgen iemand opgebeld. (Raad eens wie./ Ik weet niet meer wie het was.),Er	heeft	vanmorgen	iemand	opgebeld.	(Raad	eens	wie./	Ik	weet	niet	meer	wie	het	was.),pcl	has	today	someone	called	guess	pcl	who/	I	know	not	more	who	it	was,Someone phoned this morning. (Guess who./ I don't remember who it was.),,,,,
dutc1256-2,dutc1256,Koop iets/wat dan ook voor haar verjaardag.,Koop	iets/wat	dan	ook	voor	haar	verjaardag.,buy	anything/what	then	als	for	her	birthday,Buy something for her birthday.,,,,,
dutc1256-3,dutc1256,Zou er nog iemand/wie dan ook komen?,Zou	er	nog	iemand/wie	dan	ook	komen?,will	pcl	else	anyone/who	then	also	come,Will anyone else come?,,,,geerts1984[265],
dutc1256-4,dutc1256,"Als je iets/wat dan ook ziet, waarschuw me dan.","Als	je	iets/wat	dan	ook	ziet,	waarschuw	me	dan.",if	you	anything/what	then	also	see	tell	me	then,"If you see anything, tell me.",,,,,
dutc1256-5,dutc1256,zonder iemand/wie dan ook,zonder	iemand/wie	dan	ook,without	anyone/who	then	also,without anybody,,,,,
dutc1256-6,dutc1256,Het is moeilijk om iets/wat dan ook te zien.,Het	is	moeilijk	om	iets/wat	dan	ook	te	zien.,it	is	difficult	for	anything/what	then	also	to	see,It is difficult to see anything.,,,,,
dutc1256-7,dutc1256,De jongen loopt harder dan wie dan ook in zijn klass.,De	jongen	loopt	harder	dan	wie	dan	ook	in	zijn	klass.,the	boy	runs	faster	than	who	then	also	in	his	class,The boy runs faster than anyone in his class.,,,,,
dutc1256-8,dutc1256,Je mag wie dan ook uitnodigen.,Je	mag	wie	dan	ook	uitnodigen.,you	may	who	then	also	invite,You may invite anyone.,,,,,
dutc1256-9,dutc1256,Niemand heeft opgebeld.,Niemand	heeft	opgebeld.,nobody	has	called,Nobody called.,,,,,
dutc1256-10,dutc1256,Het is nu kouder dan in enige vorige winter.,Het	is	nu	kouder	dan	in	enige	vorige	winter.,it	is	now	colder	than	in	any	previous	winter,It is now colder than in any previous winter.,,,,geerts1984[275],
dutc1256-11,dutc1256,zonder enige help,zonder	enige	help,without	any	help,without any help,,,,,
dutc1256-12,dutc1256,Heeft hij enig succes gehad met al zijn pogingen?,Heeft	hij	enig	succes	gehad	met	al	zijn	pogingen?,has	he	any	success	had	with	all	his	attempts,Has he had any success with all his attempts?,,,,geerts1984[275],
dutc1256-13,dutc1256,"Als hij enig succes heeft, dan komt dat door zijn goede kontakten.","Als	hij	enig	succes	heeft,	dan	komt	dat	door	zijn	goede	kontakten.",if	he	any	success	has	then	comes	that	through	his	good	contacts,"If he has any success, that is due to his good connections.",,,,,
swed1254-1,swed1254,Jag har ännu något att tala med honom om.,Jag	har	ännu	något	att	tala	med	honom	om.,I	have	still	something	to	talk	with	him	about,I still have something to talk to him about.,,,,,
swed1254-2,swed1254,"Någon, jag minns inte vem, säger...","Någon,	jag	minns	inte	vem,	säger...",somebody	I	remember	not	who	says,"Somebody, I don't recall who, says...",,,,,
swed1254-3,swed1254,Någon gång får han nog erfara.,Någon	gång	får	han	nog	erfara.,some	time	gets	he	enough	experience,Sometime he will learn.,,,,,
swed1254-4,swed1254,Har du hört något <*vad som helst>?,Har	du	hört	något	<*vad som helst>?,have	you	heard	something	anything,Did you hear anything?,,,,,
swed1254-5,swed1254,"Om du hör någonting <*vad_som_helst>, väck mig.","Om	du	hör	någonting	<*vad_som_helst>,	väck	mig.",if	you	hear	something	anything	wake	me,"If you hear anything, wake me up.",,,,,
swed1254-6,swed1254,Jag tror inte att någon <*vem_som_helst> vet det.,Jag	tror	inte	att	någon	<*vem_som_helst>	vet	det.,I	think	not	that	anyone	anyone	knows	that,I don't think that anyone knows that.,,,,,
swed1254-7,swed1254,Den här pojken springer fortare än någon/ vem som helst annan i klass-en.,Den	här	pojken	springer	fortare	än	någon/	vem	som helst	annan	i	klass-en.,this	here	boy	runs	faster	than	anyone	who	indef	other	in	class-art,This boy runs faster than anyone in his class.,,,,,
swed1254-8,swed1254,Ingen har sett mig. (*Någon har inte sett mig.),Ingen	har	sett	mig.	(*Någon	har	inte	sett	mig.),none	has	seen	me	some	has	not	seen	me,Nobody has seen me.,,,,,
swed1254-9,swed1254,Jag har aldrig hört någon opera.,Jag	har	aldrig	hört	någon	opera.,I	have	never	heard	any	opera,I never heard any opera.,,,,,
swed1254-10,swed1254,Jag vet inte något.,Jag	vet	inte	något.,I	know	not	anything,I do not know anything.,,,,,
swed1254-11,swed1254,Jag vet ingenting.,Jag	vet	ingenting.,I	know	nothing,I know nothing.,,,,,
swed1254-12,swed1254,Du kan fråga vem som helst.,Du	kan	fråga	vem	som helst.,you	can	ask	who	indef,You can ask anyone.,,,,,
swed1254-13,swed1254,Skivor är dyrare än någonsin.,Skivor	är	dyrare	än	någonsin.,records	are	dearer	than	ever,Records are more expensive than ever.,,,,,
icel1247-1,icel1247,Það hringdi ein-hver/ maður í mig í morgun (en ég segi þér ekki hver).,Það	hringdi	ein-hver/	maður	í	mig	í	morgun	(en	ég	segi	þér	ekki	hver).,it	rang	one-who	man	in	me	in	morning	and	I	say	you	not	who,Someone called me up this morning (but I won't tell you who).,,,,,
icel1247-2,icel1247,Strákur-inn sá eitt-hvað á bak við tréð (en ég veit ekki hvað).,Strákur-inn	sá	eitt-hvað	á	bak	við	tréð	(en	ég	veit	ekki	hvað).,boy-the	saw	one-what	on	back	near	tree	and	I	know	not	what,The boy saw something behind the tree (but I don't know what).,,,,,
icel1247-3,icel1247,Kaupta eitt-hvað/ *nokkuð fyrir mig!,Kaupta	eitt-hvað/	*nokkuð	fyrir	mig!,buy	one-what	anything	for	me,Buy something for me!,,,,,
icel1247-4,icel1247,Sástu nokkuð/ eitt-hvað?,Sástu	nokkuð/	eitt-hvað?,saw:you	anything/	one-what,Did you see anything/something?,,,,,
icel1247-5,icel1247,"Ef ein-hver/ ??nokkur hringir, viltu þá segja að ég sé ekki heima.","Ef	ein-hver/	??nokkur	hringir,	viltu	þá	segja	að	ég	sé	ekki	heima.",if	one-who	anyone	rings	will:you	then	say	that	I	am	not	home,"If anyone calls, þlease say I'm not at home.",,,,,
icel1247-6,icel1247,Hann getur hlaupið hraðar en nokkur/ *hver sem er/ *neinn annar í bekknum.,Hann	getur	hlaupið	hraðar	en	nokkur/	*hver	sem	er/	*neinn	annar	í	bekknum.,he	can	run	faster	than	anyone	who	that	is	noone	other	in	class,He can run faster than anybody else in his class.,,,,,
icel1247-7,icel1247,Hún neitaði að viðurkenna nokkuð.,Hún	neitaði	að	viðurkenna	nokkuð.,she	refused	to	accept	anything,She refused to accept anything.,,,,,
icel1247-8,icel1247,Enginn sá mig./ Það sá mig enginn.,Enginn	sá	mig./	Það	sá	mig	enginn.,nobody	saw	me	it	saw	me	nobody,Nobody saw me.,,,,,
icel1247-9,icel1247,Ég held ekki að neinn hafi komið.,Ég	held	ekki	að	neinn	hafi	komið.,I	think	not	that	nobody	has	come,I don't think that anybody has come.,,,,,
icel1247-10,icel1247,Þú mátt heimsækja okkur hvenær sem er.,Þú	mátt	heimsækja	okkur	hvenær	sem	er.,you	may	visit	us	when	that	is,You may visit us anytime.,,,,,
lati1261-1,lati1261,"Magister, vidimus quem-dam in nomine tuo ejicientem daemonia.","Magister,	vidimus	quem-dam	in	nomine	tuo	ejicientem	daemonia.",Master	we:saw	whom-indef	in	name	your	casting.out	devils,"Master, we saw someone casting out devils in thy name.",,,,,"NT, Mk 9.38"
lati1261-2,lati1261,Tetigit me ali-quis.,Tetigit	me	ali-quis.,touched	me	indef-who,Somebody hath touched me (for I perceive that virtue is gone out of me).,,,,,"NT, Lk 8.46"
lati1261-3,lati1261,"At ille intendebat in eos, sperans se ali-quid accepturum ab eis","At	ille	intendebat	in	eos,	sperans	se	ali-quid	accepturum	ab	eis",but	that	gave.heed	in	them	hoping	self	indef-what	accept:fut	from	them,"And he gave heed unto them, expecting to receive something of them.",,,,,"NT, Act. 3.5"
lati1261-4,lati1261,Num quid simile populus Romanus audierat?,Num	quid	simile	populus	Romanus	audierat?,q	what	similar	people	Roman	heard,Had the Roman people heard anything similar?,,,,,Cic. Lael. 41
lati1261-5,lati1261,Licet mihi loqui ali-quid ad te?,Licet	mihi	loqui	ali-quid	ad	te?,is.allowed	to:me	to:speak	indef-what	to	you,May I say something to you?,,,,,"NT, Acts 21.37"
lati1261-6,lati1261,"Si quid petieritis me in nomine meo, hoc faciam.","Si	quid	petieritis	me	in	nomine	meo,	hoc	faciam.",if	what	you:ask	me	in	name	my	this	I:will:do,"If ye shall ask anything in my name, I will do it.",,,,,"NT, John 14.14"
lati1261-7,lati1261,"Et si quid ali-quem defraudavi, reddo quadruplum.","Et	si	quid	ali-quem	defraudavi,	reddo	quadruplum.",and	if	what	indef-whom	I:deceived	I:return	fourfold,"And if I have taken anything from any man by false accusation, I restore him fourfold.",,,,,"NT, Lk 19.8"
lati1261-8,lati1261,Aut quomodo potest quis-quam intrare in domum fortis... nisi prius alligaverit fortem?,Aut	quomodo	potest	quis-quam	intrare	in	domum	fortis...	nisi	prius	alligaverit	fortem?,or	how	can	who-indef	enter	in	house	of:strongman	unless	before	he:will:bind	strongman,Or else how can anyone enter into a strong man's house...except he first bind the strong man.,,,,,"NT, Mt 12.29"
lati1261-9,lati1261,"Si quis-quam est timidus in magnis periculosis-que rebus, is ego sum.","Si	quis-quam	est	timidus	in	magnis	periculosis-que	rebus,	is	ego	sum.",if	who-indef	is	timid	in	big	dangerous-and	things	this	I	am,"If anyone is timid in important and dangerous situations, it is me.",,,,,Cic. Fam. 6.14.1
lati1261-10,lati1261,Ac videte quanto taetrior hic tyrannus Syracusanis fuerit quam quis-quam superiorum.,Ac	videte	quanto	taetrior	hic	tyrannus	Syracusanis	fuerit	quam	quis-quam	superiorum.,and	you:see	how.much	more:horrible	this	tyrant	for:Syracusans	was	than	who-indef	of:earlier.ones,And you see how much more horrible this tyrant was for the Syracusans than any of the earlier ones.,,,,,Cic. Verr. 4.123
lati1261-11,lati1261,Et non sinebat ut quis-quam transferret vas per templum.,Et	non	sinebat	ut	quis-quam	transferret	vas	per	templum.,and	neg	admitted	that	who-indef	transferred	vessel	through	temple,And he would not admit that any man should carry any vessel through the temple.,,,,,"NT, Mk 11.16"
lati1261-12,lati1261,Nemo potest duobus dominis servire.,Nemo	potest	duobus	dominis	servire.,nobody	can	two	masters	serve,Nobody can serve two masters.,,,,,"NT, Mt 6.24"
lati1261-13,lati1261,Nemini quid-quam dixerunt.,Nemini	quid-quam	dixerunt.,to:nobody	what-indef	they:said,They did not say anything to anybody.,,,,,"NT, Mk 16.8"
lati1261-14,lati1261,Mihi utrum-vis satis est.,Mihi	utrum-vis	satis	est.,to:me	which-indef	enough	is,Either is sufficient for me.,,,,,Cic. Off. 3.33
lati1261-15,lati1261,"Utrum-libet elige; alterum incredibile est, alterum nefarium.","Utrum-libet	elige;	alterum	incredibile	est,	alterum	nefarium.",which-indef	choose	one	incredible	is	other	sinful,"Choose either: one is incredible, the other sinful.",,,,,Quint. 81
port1283-1,port1283,O João telefonou e disse alguma coisa/ *qualquer coisa – adivinhe o_que!,O	João	telefonou	e	disse	alguma	coisa/	*qualquer	coisa	–	adivinhe	o_que!,art	João	phoned	and	said	some	thing	any	thing	–	guess	what,João called and said something – guess what!,,,,,
port1283-2,port1283,Senti que alguém me observava.,Senti	que	alguém	me	observava.,I:felt	that	someone	me	observed,I felt that someone was observing me.,,,,,
port1283-3,port1283,Ivan disse qualquer coisa em russo que não entendi.,Ivan	disse	qualquer	coisa	em	russo	que	não	entendi.,Ivan	said	any	thing	in	Russian	that	not	I:understood,Ivan said something in Russian that I did not understand.,,,,,
port1283-4,port1283,Alguém/ qualquer pessoa pode passar aí e apanhar a caixa.,Alguém/	qualquer	pessoa	pode	passar	aí	e	apanhar	a	caixa.,someone	any	person	can	pass	here	and	take	the	box,Someone [non-specific] can come along here and take the box.,,,,,
port1283-5,port1283,Você ouve alguma coisa/ qualquer coisa?,Você	ouve	alguma	coisa/	qualquer	coisa?,you	hear	some	thing	any	thing,Can you hear anything?,,,,,
port1283-6,port1283,"Se você ouvir alguma coisa/ qualquer coisa, acorde-me.","Se	você	ouvir	alguma	coisa/	qualquer	coisa,	acorde-me.",fi	you	hear	some	thing	any	thing	wake-me,"If you hear anything, wake me up.",,,,,
port1283-7,port1283,Eu amo minha filha mais do que qualquer outra pessoa.,Eu	amo	minha	filha	mais	do que	qualquer	outra	pessoa.,I	love	my	daughter	more	than	any	other	person,I love my daughter more than anyone else.,,,,,
port1283-8,port1283,Pelo Bábel ele é capaz de fazer qualquer coisa.,Pelo	Bábel	ele	é	capaz	de	fazer	qualquer	coisa.,for:art	Babel	he	is	capable	of	doing	any	thing,For Babel he is capable of doing anything.,,,,,
port1283-9,port1283,Liliana perguntou isso sem encenar qualquer/ nenhum charme sensual.,Liliana	perguntou	isso	sem	encenar	qualquer/	nenhum	charme	sensual.,Liliana	asked	that	without	showing	any	no	charm	sensual,Liliana asked this without showing any sensual charm.,,,,,
port1283-10,port1283,Não contém qualquer sentimento nobre.,Não	contém	qualquer	sentimento	nobre.,not	contains	any	feeling	noble,It does not contain any noble feeling.,,,,,
port1283-11,port1283,Ninguém veio./ Não veio ninguém.,Ninguém	veio./	Não	veio	ninguém.,nobody	came	not	came	nobody,Nobody came.,,,,,
stan1289-1,stan1289,Alguna vegada he vist algú en algun lloc.,Alguna	vegada	he	vist	algú	en	algun	lloc.,some	time	I:have	seen	someone	in	some	place,I once saw somebody somehwere.,,,,sola1973[92],
stan1289-2,stan1289,Algun dia ho entendràs.,Algun	dia	ho	entendràs.,some	day	it	you'll.understand,Some day you'll understand.,,,,,
stan1289-3,stan1289,Hi ha res/ alguna cosa de nou?,Hi	ha	res/	alguna	cosa	de	nou?,there	exists	anything	some	thing	of	new,Is there anything/something new?,,,,esposito1988[105],
stan1289-4,stan1289,"Si hi hagués ningú/ algú de Barcelona, li podríem demanar.","Si	hi	hagués	ningú/	algú	de	Barcelona,	li	podríem	demanar.",if	there	existed	anyone	someone	from	Barcelona	him	we:coulf	ask,"If there were anyone/someone from Barcelona, we could ask him.",,,,hualde1992[163],
stan1289-5,stan1289,Nega que hagui arrivat ningú/ algú.,Nega	que	hagui	arrivat	ningú/	algú.,denies	that	have	arrived	anyone	someone,She denies that anyone has arrived.,,,,esposito1988[105],
stan1289-6,stan1289,No he vist mai ningú enlloc.,No	he	vist	mai	ningú	enlloc.,not	I:have	seen	ever	anyone	anywhere,I have never seen anybody anywhere.,,,,sola1973[93],
stan1289-7,stan1289,Ningú (no) ens ha vist.,Ningú	(no)	ens	ha	vist.,nobody	not	us	has	seen,Nobody has seen us.,,,,sola1973[93],
stan1289-8,stan1289,Aqui el clima es mes agradable que en qualsevol altre lloc/ enlloc d' Europa.,Aqui	el	clima	es	mes	agradable	que	en	qualsevol	altre	lloc/	enlloc	d'	Europa.,here	the	climate	is	more	pleasant	than	in	any	other	place	anywhere	of	Europe,Here the climate is more pleasant than anywhere else in Europe.,,,,,
stan1289-9,stan1289,La negació expressada per l'adverbi no pot recaure no sobre tota la proposició... sinó sobre una altra qualsevol de las sevas parts.,La	negació	expressada	per	l'adverbi	no	pot	recaure	no	sobre	tota	la	proposició...	sinó	sobre	una	altra	qualsevol	de	las	sevas	parts.,the	negation	expressed	by	the.adverb	no	can	revert	not	over	whole	the	proposition	but	over	an	other	anyone	of	the	its	parts,"The negation expressed by the adverb no can have scope not over the whole sentence, but over any other of its parts.",,,,sola1973[94-95],
stan1290-1,stan1290,Quelqu'un m'attend. C'est lui que j'épouserai.,Quelqu'un	m'attend.	C'est	lui	que	j'épouserai.,someone	me.expects	it.is	him	that	I.will.marry,Someone is waiting for me. It's him that I will marry.,,,,,
stan1290-2,stan1290,Quelqu'un est à la porte. Je ne sais pas qui.,Quelqu'un	est	à	la	porte.	Je	ne	sais	pas	qui.,someone	is	at	the	door	I	not	know	not	who,Somebody is at the door. I don't know who.,,,,,
stan1290-3,stan1290,Elle veut épouser quelqu'un aux cheveux noirs.,Elle	veut	épouser	quelqu'un	aux	cheveux	noirs.,she	wants	marry	someone	at.the	hairs	black,She wants to marry someone with black hair.,,,,,
stan1290-4,stan1290,As-tu écouté quelque chose?,As-tu	écouté	quelque	chose?,have-you	heard	some	thing,Have you heard anything?,,,,,
stan1290-5,stan1290,"Si l'art n'était vraiment qu'un prolongement de la vie, valait-il de lui rien sacrifier?","Si	l'art	n'était	vraiment	qu'un	prolongement	de	la	vie,	valait-il	de	lui	rien	sacrifier?",if	the.art	not.were	really	only.a	continuation	of	the	life	worth-it	to	to.it	anything	sacrifice,"If art were really only a continuation of life, would it be worth sacrificing anything for it?",,,,gaatone1971[169],
stan1290-6,stan1290,Comment peut-on en conclure quoi que ce soit sur l'ordre de la pensée?,Comment	peut-on	en	conclure	quoi	que	ce	soit	sur	l'ordre	de	la	pensée?,how	can-one	from.it	conclude	what	that	it	be	about	the.order	of	the	thinking,How can one conclude anything from it about the order of thoughts?,,,,,
stan1290-7,stan1290,Je vous rends responsable si rien/quelque chose s'ébruite dans la presse.,Je	vous	rends	responsable	si	rien/quelque	chose	s'ébruite	dans	la	presse.,I	you	hold	responsible	if	anything/some	thing	transpires	in	the	press,I hold you responsible if anything transpires in the media.,,,,,
stan1290-8,stan1290,Éveillez-moi s'il arrive quoi que ce soit.,Éveillez-moi	s'il	arrive	quoi	que	ce	soit.,wake-me	if.it	happens	what	that	it	be,Wake me up if anything happens.,,,,,
stan1290-9,stan1290,Je ne vois rien.,Je	ne	vois	rien.,I	not	see	anything,I cannot see anything.,,,,,
stan1290-10,stan1290,Personne n'a jamais dit rien.,Personne	n'a	jamais	dit	rien.,nobody	not.has	ever	said	anything,Nobody ever said anything.,,,,,
stan1290-11,stan1290,Je n'ai vu qui que ce soit.,Je	n'ai	vu	qui	que	ce	soit.,I	not.have	seen	who	that	it	be,I haven't seen anybody.,,,,muller1991[256],
stan1290-12,stan1290,Je doute que personne y réussisse.,Je	doute	que	personne	y	réussisse.,I	doubt	that	anyone	in.it	succeed,I doubt that anybody will succeed in it.,,,,,
stan1290-13,stan1290,J'hésite à rien écrire sur cela/à écrire quoi que ce soit sur cela.,J'hésite	à	rien	écrire	sur	cela/à	écrire	quoi	que	ce	soit	sur	cela.,I.hesitate	to	anything	write	about	that/to	write	what	that	it	be	about	that,I hesitate to write anything about that.,,,,,
stan1290-14,stan1290,Il parle mieux qu'aucun orateur.,Il	parle	mieux	qu'aucun	orateur.,he	speaks	better	than.any	orator,He speaks better than any orator.,,,,,
stan1290-15,stan1290,Je préfère de beaucoup fermer les yeux que lui reprocher quoi que ce soit qui puisse vous ennuyer.,Je	préfère	de	beaucoup	fermer	les	yeux	que	lui	reprocher	quoi	que	ce	soit	qui	puisse	vous	ennuyer.,I	prefer	by	much	to.close	the	eyes	than	him	reproach	what	that	it	be	that	could	you	annoy,I much prefer to close my eyes than to blame him for anything that could annoy you.,,,,,
stan1290-16,stan1290,Vous pouvez dire quoi que ce soit.,Vous	pouvez	dire	quoi	que	ce	soit.,you	can	say	what	that	it	be,You can say anything.,,,,,
stan1290-17,stan1290,Demandez à quiconque des assistents!,Demandez	à	quiconque	des	assistents!,ask	at	anyone	of.the	assistants,Ask any of the assistants!,,,,,
stan1290-18,stan1290,Je le sais mieux que quiconque.,Je	le	sais	mieux	que	quiconque.,I	it	know	better	than	anyone,I know it better than anyone.,,,,,
stan1290-19,stan1290,Il n'est pas permis de parler de ceci à quiconque.,Il	n'est	pas	permis	de	parler	de	ceci	à	quiconque.,it	is	not	permitted	to	talk	of	this	to	anyone,It isn't possible to talk about this to anybody.,,,,,
stan1290-20,stan1290,"Si quiconque insiste pour me parler, dites qu'on m'écrive.","Si	quiconque	insiste	pour	me	parler,	dites	qu'on	m'écrive.",if	anyone	insists	on	me	talk	say	that.they	me.write,"If anyone insists on talking to me, tell them to write to me.",,,,,
stan1290-21,stan1290,Tu peux dire n'importe quoi.,Tu	peux	dire	n'importe	quoi.,you	can	say	no.matter	what,You can say anything.,,,,,
stan1290-22,stan1290,"Le général avait compris assez tôt que cette guerre, plus que n'importe quelle guerre dans le passé, était une guerre de réserves d'hommes et de matériel.","Le	général	avait	compris	assez	tôt	que	cette	guerre,	plus	que	n'importe	quelle	guerre	dans	le	passé,	était	une	guerre	de	réserves	d'hommes	et	de	matériel.",the	general	had	understood	pretty	soon	that	this	war	more	than	no.matter	which	war	in	the	past	was	a	war	of	resources	of.people	and	of	material,"The general had understood pretty soon that this war, more than any war in the past, was a war of human and material resources.",,,,,
ital1282-1,ital1282,Qualcuno è venuto – indovina chi!,Qualcuno	è	venuto	–	indovina	chi!,someone	has	come	–	guess	who,Someone has come – guess who!,,,,,
ital1282-2,ital1282,"Non trovo la penna, eppure in qualche parte l'avrò messa.","Non	trovo	la	penna,	eppure	in	qualche	parte	l'avrò	messa.",not	I.find	the	pen	and.yet	in	some	place	it.I.will.have	put,"I can't find the pen, and yet I must have put it somewhere.",,,,,
ital1282-3,ital1282,Compra qualcosa per me.,Compra	qualcosa	per	me.,buy	something	for	me,Buy something for your niece.,,,,,
ital1282-4,ital1282,Vedi qualcosa/niente?,Vedi	qualcosa/niente?,you.see	something/anything,Can you see anything?,,,,,
ital1282-5,ital1282,"Se senti qualcosa <*niente>, svegliami.","Se	senti	qualcosa	<*niente>,	svegliami.",if	you.hear	something	(anything)	wake.me,"If you hear anything, wake me up.",,,,,
ital1282-6,ital1282,Non è necessario che venga nessuno / che qualcuno venga.,Non	è	necessario	che	venga	nessuno	/	che	qualcuno	venga.,not	is	necessary	that	come	anyone	/	that	someone	come,It is not necessary that anyone come.,,,,,
ital1282-7,ital1282,Puoi andare dovunque.,Puoi	andare	dovunque.,you.can	go	anywhere,You can go anywhere.,,,,,
ital1282-8,ital1282,Christie ha scritto più romanzi che chiunque altro in questo secolo.,Christie	ha	scritto	più	romanzi	che	chiunque	altro	in	questo	secolo.,Christie	has	written	more	novels	than	anyone	other	in	this	century,Christie has written more novels than anyone else in this century.,,,,,
ital1282-9,ital1282,Non ho veduto nulla.,Non	ho	veduto	nulla.,not	I.have	seen	nothing,I have not seen anything.,,,,,
ital1282-10,ital1282,Nessuno (*non) è venuto.,Nessuno	(*non)	è	venuto.,nobody	(not)	has	come,Nobody has come.,,,,,
ital1282-11,ital1282,Nessun professore ha scritto mai nessun libro.,Nessun	professore	ha	scritto	mai	nessun	libro.,no	professor	has	written	ever	any	book,No professor has ever written any book.,,,,,
roma1327-1,roma1327,"Am cumpărat ce-va, ghici ce!","Am	cumpărat	ce-va,	ghici	ce!",I:have	bought	what-indef	guess	what,"I have bought something, guess what!",,,,,
roma1327-2,roma1327,"Cine-va te-a căutat la telefon, dar nu i-am înțeles numele.","Cine-va	te-a	căutat	la	telefon,	dar	nu	i-am	înțeles	numele.",who-indef	you-has	asked	on	phone	but	not	him-have	understood	name,"Somebody asked for you on the phone, but I didn't understand the name.",,,,,
roma1327-3,roma1327,Aș vrea ce-va mîncare și băutură.,Aș	vrea	ce-va	mîncare	și	băutură.,intj	want	what-indef	to.eat	and	drink,I want something to eat and to drink.,,,,,
roma1327-4,roma1327,Ai fost vreodată/ cînd-va la Chișinău?,Ai	fost	vreodată/	cînd-va	la	Chișinău?,have	been	ever	when-indef	at	Chișinău,Have you ever been to Chișinău?,,,,,
roma1327-5,roma1327,"Dacă auzi ce-va/ *ori-ce, trezește-mă.","Dacă	auzi	ce-va/*ori-ce,	trezește-mă.",if	you.hear	what-indef	wake-me,"If you hear anything, wake me up.",,,,,
roma1327-6,roma1327,Niculina fuge mai repede decît ori-ce/ *vre-o fată din clasă.,Niculina	fuge	mai	repede	decît	ori-ce/	*vre-o	fată	din	clasă.,Niculina	runs	more	fast	than	indef-what	indef-one	girl	in	class,Niculina runs faster than any girl in her class.,,,,,
roma1327-7,roma1327,Se găseste în ori-ce prăvălie.,Se	găseste	în	ori-ce	prăvălie.,refl	gets	in	indef-what	shop,You can get it in any shop.,,,,,
